image0.jpg: [(14, 62, 82), (116, 149, 157), (137, 167, 171), (156, 184, 189), (2, 0, 1)]
image1.jpg: [(14, 7, 8), (40, 70, 77), (72, 73, 70), (68, 104, 113), (44, 25, 19)]
image2.jpg: [(32, 65, 72), (7, 8, 10), (25, 49, 55), (80, 114, 132), (13, 19, 22)]
image3.jpg: [(17, 13, 12), (27, 19, 19), (22, 18, 16), (40, 26, 27), (13, 10, 9)]
image4.jpg: [(9, 41, 53), (5, 7, 10), (17, 9, 7), (8, 22, 34), (39, 42, 39)]
image5.jpg: [(4, 3, 5), (15, 40, 50), (10, 16, 21), (34, 55, 68), (38, 40, 49)]
image6.jpg: [(17, 15, 11), (4, 3, 5), (51, 71, 73), (19, 36, 36), (77, 93, 97)]
image7.jpg: [(48, 43, 33), (24, 18, 9), (10, 7, 7), (54, 67, 60), (35, 27, 18)]
image8.jpg: [(3, 2, 2), (42, 32, 23), (16, 30, 33), (17, 11, 7), (6, 13, 18)]
image9.jpg: [(28, 23, 16), (84, 116, 133), (5, 10, 13), (42, 79, 87), (23, 48, 48)]
image10.jpg: [(18, 51, 50), (12, 11, 11), (49, 67, 58), (34, 34, 25), (32, 18, 14)]
image11.jpg: [(26, 63, 65), (31, 27, 23), (16, 13, 13), (59, 50, 31), (77, 87, 74)]
image12.jpg: [(18, 18, 14), (88, 48, 19), (6, 7, 13), (42, 23, 12), (46, 40, 23)]
image13.jpg: [(119, 87, 63), (46, 47, 33), (90, 58, 36), (6, 7, 1), (171, 135, 115)]
image14.jpg: [(5, 4, 7), (16, 28, 35), (19, 11, 12), (87, 66, 50), (6, 9, 14)]
image15.jpg: [(48, 50, 45), (10, 9, 10), (14, 21, 25), (4, 4, 4), (36, 26, 24)]
image16.jpg: [(4, 2, 5), (11, 32, 41), (48, 33, 24), (8, 7, 13), (5, 8, 17)]
image17.jpg: [(7, 7, 8), (7, 10, 14), (49, 37, 29), (17, 14, 14), (27, 29, 27)]
image18.jpg: [(6, 5, 6), (14, 27, 31), (11, 9, 12), (62, 58, 49), (48, 32, 22)]
image19.jpg: [(6, 5, 6), (12, 9, 11), (16, 23, 26), (49, 30, 22), (78, 60, 46)]
image20.jpg: [(6, 4, 5), (14, 21, 25), (50, 43, 37), (123, 104, 83), (17, 12, 11)]
image21.jpg: [(15, 25, 30), (37, 43, 43), (6, 5, 7), (104, 88, 74), (6, 4, 5)]
image22.jpg: [(7, 7, 8), (35, 56, 65), (24, 22, 21), (37, 30, 27), (115, 98, 87)]
image23.jpg: [(6, 7, 9), (26, 52, 59), (151, 123, 104), (19, 18, 19), (47, 58, 59)]
image24.jpg: [(46, 39, 34), (6, 8, 12), (7, 7, 10), (28, 22, 20), (10, 12, 16)]
image25.jpg: [(5, 5, 6), (14, 29, 35), (58, 62, 51), (124, 116, 100), (49, 33, 22)]
image26.jpg: [(4, 5, 6), (9, 9, 11), (13, 18, 22), (38, 27, 25), (53, 52, 50)]
image27.jpg: [(18, 14, 15), (106, 67, 44), (56, 41, 31), (144, 109, 82), (172, 136, 108)]
image28.jpg: [(15, 36, 42), (6, 5, 6), (9, 9, 12), (141, 122, 109), (69, 69, 59)]
image29.jpg: [(7, 10, 13), (141, 118, 105), (5, 7, 9), (10, 19, 25), (58, 59, 58)]
image30.jpg: [(6, 5, 6), (9, 24, 34), (146, 130, 123), (9, 9, 12), (60, 57, 50)]
image31.jpg: [(6, 4, 5), (23, 41, 49), (76, 48, 31), (24, 21, 21), (77, 78, 68)]
image32.jpg: [(6, 6, 8), (27, 56, 63), (22, 25, 28), (94, 84, 76), (131, 104, 87)]
image33.jpg: [(59, 46, 31), (25, 26, 23), (46, 32, 23), (7, 5, 6), (26, 17, 14)]
image34.jpg: [(7, 6, 8), (5, 4, 5), (138, 123, 112), (13, 23, 29), (10, 8, 11)]
image35.jpg: [(38, 40, 38), (4, 4, 4), (30, 26, 23), (5, 6, 8), (13, 18, 19)]
image36.jpg: [(22, 33, 35), (5, 5, 6), (16, 18, 18), (8, 12, 16), (53, 37, 32)]
image37.jpg: [(5, 4, 5), (10, 8, 11), (10, 20, 28), (49, 47, 42), (35, 24, 19)]
image38.jpg: [(37, 44, 47), (7, 4, 7), (33, 25, 25), (69, 65, 62), (26, 21, 21)]
image39.jpg: [(26, 50, 56), (42, 33, 32), (55, 48, 43), (34, 17, 19), (10, 6, 10)]
image40.jpg: [(4, 3, 4), (52, 57, 49), (25, 39, 40), (21, 14, 12), (20, 25, 28)]
image41.jpg: [(25, 43, 45), (8, 6, 6), (25, 17, 15), (32, 31, 30), (49, 63, 59)]
image42.jpg: [(4, 2, 3), (30, 21, 19), (24, 30, 35), (49, 51, 50), (43, 34, 32)]
image43.jpg: [(54, 75, 81), (17, 41, 51), (5, 7, 9), (45, 47, 47), (4, 3, 4)]
image44.jpg: [(34, 55, 58), (31, 35, 37), (14, 31, 39), (4, 3, 3), (3, 1, 2)]
image45.jpg: [(4, 3, 5), (11, 37, 49), (51, 70, 76), (5, 13, 19), (106, 124, 135)]
