image0.jpg: [(119, 104, 99), (149, 136, 129), (208, 180, 164), (82, 84, 85), (16, 23, 26)]
image1.jpg: [(64, 74, 85), (97, 103, 115), (140, 152, 166), (81, 93, 108), (113, 120, 137)]
image2.jpg: [(5, 31, 73), (8, 13, 21), (44, 58, 70), (92, 96, 96), (20, 26, 36)]
image3.jpg: [(50, 53, 47), (31, 24, 18), (67, 55, 45), (70, 64, 53), (14, 15, 13)]
image4.jpg: [(80, 49, 22), (165, 150, 132), (11, 11, 11), (27, 23, 16), (107, 86, 54)]
image5.jpg: [(64, 48, 43), (36, 41, 43), (23, 25, 25), (40, 29, 25), (95, 74, 65)]
image6.jpg: [(41, 36, 29), (31, 8, 2), (29, 20, 15), (19, 5, 2), (20, 35, 32)]
image7.jpg: [(113, 120, 136), (9, 13, 15), (20, 28, 39), (52, 57, 68), (100, 113, 134)]
image8.jpg: [(30, 48, 70), (92, 89, 96), (108, 111, 131), (66, 79, 94), (9, 18, 28)]
image9.jpg: [(129, 103, 81), (108, 75, 58), (38, 11, 8), (82, 60, 47), (81, 45, 32)]
image10.jpg: [(127, 109, 91), (50, 42, 38), (68, 49, 39), (26, 20, 17), (101, 83, 65)]
image11.jpg: [(9, 3, 1), (13, 8, 4), (169, 163, 166), (28, 30, 40), (29, 20, 26)]
image12.jpg: [(6, 6, 8), (16, 56, 50), (40, 36, 34), (23, 21, 20), (8, 21, 22)]
image13.jpg: [(2, 5, 10), (59, 50, 49), (65, 76, 78), (29, 41, 49), (90, 106, 114)]
image14.jpg: [(40, 57, 66), (40, 73, 92), (78, 115, 147), (33, 33, 39), (184, 205, 224)]
image15.jpg: [(40, 48, 51), (58, 62, 63), (47, 56, 60), (31, 39, 42), (50, 58, 61)]
image16.jpg: [(59, 55, 60), (7, 10, 17), (93, 84, 88), (107, 128, 144), (39, 39, 45)]
image17.jpg: [(16, 19, 25), (75, 93, 105), (50, 50, 58), (31, 43, 54), (126, 110, 103)]
image18.jpg: [(63, 70, 64), (94, 71, 49), (27, 36, 44), (40, 49, 51), (42, 37, 36)]
image19.jpg: [(17, 18, 21), (37, 44, 46), (23, 40, 43), (45, 68, 68), (22, 26, 29)]
image20.jpg: [(8, 11, 12), (113, 107, 91), (51, 28, 18), (106, 93, 73), (80, 68, 47)]
image21.jpg: [(42, 43, 42), (58, 45, 43), (28, 28, 28), (6, 4, 5), (18, 15, 15)]
image22.jpg: [(96, 74, 56), (55, 51, 43), (83, 95, 98), (119, 132, 144), (25, 21, 26)]
image23.jpg: [(14, 10, 10), (125, 98, 83), (93, 66, 47), (158, 127, 114), (38, 26, 20)]
image24.jpg: [(138, 107, 81), (150, 132, 121), (180, 171, 175), (20, 18, 22), (107, 79, 55)]
image25.jpg: [(16, 8, 10), (114, 86, 60), (38, 21, 17), (132, 114, 95), (52, 40, 32)]
image26.jpg: [(149, 118, 81), (18, 12, 14), (32, 29, 23), (86, 70, 55), (60, 31, 21)]
image27.jpg: [(70, 76, 61), (125, 98, 71), (59, 34, 26), (43, 29, 23), (24, 11, 12)]
image28.jpg: [(10, 8, 9), (198, 162, 117), (163, 123, 86), (102, 89, 66), (73, 49, 19)]
image29.jpg: [(58, 65, 60), (149, 124, 111), (76, 44, 22), (6, 4, 5), (12, 10, 11)]
image30.jpg: [(20, 19, 26), (49, 47, 58), (99, 104, 116), (85, 93, 100), (74, 83, 93)]
image31.jpg: [(20, 21, 28), (53, 54, 60), (103, 110, 129), (77, 65, 65), (114, 125, 144)]
image32.jpg: [(130, 124, 112), (114, 107, 101), (14, 16, 25), (95, 86, 86), (9, 14, 25)]
image33.jpg: [(15, 42, 43), (106, 129, 149), (27, 59, 53), (123, 149, 169), (84, 106, 123)]
image34.jpg: [(2, 4, 8), (37, 31, 20), (27, 29, 21), (11, 6, 8), (40, 38, 26)]
image35.jpg: [(6, 7, 9), (5, 5, 7), (4, 4, 7), (5, 9, 10), (6, 15, 19)]
